2DPathTrajectory
x	y
0.938041	-0.451679
0.938041	-0.451679
0.93804	-0.45168
0.938042	-0.451684
0.93804	-0.451684
0.93804	-0.451685
0.938041	-0.451689
0.938042	-0.451693
0.938042	-0.451695
0.938043	-0.451699
0.938041	-0.451698
0.938043	-0.451706
0.938043	-0.451711
0.938043	-0.451717
0.938042	-0.45172
0.938045	-0.451727
0.938043	-0.45173
0.938044	-0.451731
0.938045	-0.451736
0.938046	-0.451742
0.938047	-0.451746
0.938047	-0.45175
0.938047	-0.451752
0.938049	-0.451758
0.938048	-0.451757
0.938045	-0.451756
0.938048	-0.451765
0.938049	-0.451772
0.938049	-0.451776
0.938051	-0.451784
0.93805	-0.451787
0.938051	-0.451793
0.938053	-0.4518
0.938051	-0.4518
0.938054	-0.451808
0.938054	-0.451812
0.938054	-0.451816
0.938054	-0.451819
0.938059	-0.451833
0.938057	-0.45183
0.929472	-0.460381
0.837785	-0.460191
0.742797	-0.471821
0.658985	-0.527649
0.616589	-0.577042
0.571344	-0.618154
0.568229	-0.616641
0.569157	-0.616345
0.569045	-0.616274
0.569059	-0.616276
0.569059	-0.616278
0.569062	-0.616273
0.569063	-0.616271
0.569067	-0.616267
0.569068	-0.616267
0.569069	-0.616266
0.569071	-0.616262
0.569074	-0.616259
0.569077	-0.616257
0.569079	-0.616254
0.56908	-0.616253
0.569082	-0.616254
0.569087	-0.616245
0.569091	-0.616238
0.569093	-0.616236
0.569096	-0.616231
0.569099	-0.616226
0.569103	-0.616218
0.569104	-0.616223
0.569104	-0.616227
0.569109	-0.61622
0.569109	-0.616227
0.569114	-0.616216
0.569119	-0.616208
0.569121	-0.616207
0.569123	-0.616203
0.569128	-0.616197
0.569131	-0.616195
0.569135	-0.616193
0.56914	-0.616181
0.569142	-0.616181
0.569144	-0.61618
0.569147	-0.616177
0.569147	-0.61618
0.569154	-0.616167
0.569156	-0.616166
0.569159	-0.616162
0.569162	-0.616157
0.569163	-0.616156
0.569165	-0.616153
0.569168	-0.616148
0.569171	-0.616146
0.569172	-0.616146
0.569175	-0.616139
0.569176	-0.616145
0.569179	-0.616137
0.569179	-0.616141
0.569183	-0.616131
0.569185	-0.616131
0.569185	-0.616133
0.569187	-0.61613
0.569189	-0.616127
0.569193	-0.616118
0.569532	-0.615933
0.570957	-0.617246
0.570712	-0.616803
0.570739	-0.616874
0.570737	-0.616858
0.570741	-0.616857
0.570747	-0.616848
0.570749	-0.616849
0.570753	-0.616846
0.570755	-0.616841
0.570758	-0.616838
0.570758	-0.616841
0.570757	-0.616846
0.570762	-0.616838
0.570766	-0.616835
0.57077	-0.616833
0.570777	-0.616826
0.570779	-0.616824
0.570781	-0.616823
0.570785	-0.616819
0.570785	-0.61682
0.57079	-0.616816
0.570795	-0.616813
0.570799	-0.616807
0.570801	-0.616808
0.570807	-0.616804
0.570807	-0.616803
0.570814	-0.616795
0.570816	-0.616797
0.570819	-0.616793
0.570825	-0.616786
0.57083	-0.616783
0.570832	-0.616783
0.570836	-0.616777
0.570839	-0.616775
0.570839	-0.616776
0.570845	-0.616768
0.57085	-0.616764
0.570851	-0.616764
0.570862	-0.61675
0.570862	-0.616754
0.570867	-0.616751
0.570872	-0.616746
0.570876	-0.616741
0.570878	-0.616739
0.570884	-0.616735
0.570887	-0.616734
0.570891	-0.61673
0.570898	-0.616723
0.570903	-0.61672
0.570905	-0.61672
0.570911	-0.616714
0.570918	-0.616706
0.570921	-0.616705
0.570925	-0.6167
0.570929	-0.616694
0.570934	-0.616694
0.570938	-0.616689
0.570941	-0.616688
0.570943	-0.616686
0.570947	-0.616683
0.570952	-0.616677
0.570957	-0.616672
0.570962	-0.616669
0.570966	-0.616666
0.570971	-0.616662
0.570975	-0.616657
0.57098	-0.616653
0.570985	-0.616649
0.570992	-0.616641
0.570995	-0.61664
0.570999	-0.616633
0.571003	-0.61663
0.571001	-0.616635
0.571005	-0.616631
0.571006	-0.61663
0.571012	-0.616623
0.571015	-0.616623
0.571023	-0.616613
0.571025	-0.616613
0.571027	-0.61661
0.571031	-0.616605
0.571031	-0.616606
0.571036	-0.616604
0.571038	-0.616601
0.571039	-0.616601
0.571045	-0.616596
0.571046	-0.616595
0.571053	-0.616586
0.571053	-0.616588
0.571054	-0.616588
0.571056	-0.616585
0.57106	-0.616581
0.571058	-0.616586
0.571062	-0.616581
0.571064	-0.616579
0.571066	-0.616577
0.57107	-0.616571
0.571074	-0.616567
0.571074	-0.616571
0.571076	-0.616569
0.571078	-0.616567
0.57108	-0.616566
0.571082	-0.616565
0.571083	-0.616564
0.571085	-0.616561
0.57109	-0.616554
0.57109	-0.616557
0.57109	-0.616556
0.571093	-0.616555
0.571094	-0.616555
0.571098	-0.61655
0.571101	-0.616546
0.571102	-0.616547
0.571103	-0.616546
0.571108	-0.616539
0.57111	-0.61654
0.571113	-0.616538
0.571118	-0.616532
0.571123	-0.616528
0.571127	-0.616527
0.571132	-0.61652
0.571135	-0.61652
0.571139	-0.616516
0.571143	-0.616509
0.571143	-0.616512
0.571143	-0.616512
0.571146	-0.616509
0.571147	-0.616509
0.571153	-0.616501
0.571153	-0.616502
0.571154	-0.616503
0.571157	-0.616499
0.571161	-0.616495
0.571164	-0.616491
0.571163	-0.616498
0.571168	-0.616489
0.57117	-0.61649
0.571171	-0.61649
0.571174	-0.616487
0.571176	-0.616484
0.571179	-0.61648
0.571183	-0.616479
0.571187	-0.616476
0.571193	-0.61647
0.571199	-0.616462
0.571203	-0.616461
0.571206	-0.616458
0.571211	-0.616454
0.57121	-0.616456
0.571213	-0.616454
0.571215	-0.616452
0.571218	-0.616448
0.571221	-0.616447
0.571226	-0.616443
0.571229	-0.61644
0.57123	-0.616441
0.571232	-0.61644
0.571234	-0.616437
0.571236	-0.616435
0.57124	-0.616432
0.571241	-0.616433
0.571244	-0.616429
0.571245	-0.616428
0.571249	-0.616424
0.57125	-0.616422
0.571251	-0.616424
0.571255	-0.616419
0.571258	-0.616418
0.571265	-0.616412
0.571272	-0.616403
0.571275	-0.616406
0.571282	-0.616402
0.571286	-0.6164
0.571294	-0.616391
0.571297	-0.616391
0.571304	-0.616383
0.571306	-0.616383
0.571307	-0.616383
0.571309	-0.61638
0.57131	-0.61638
0.571312	-0.616379
0.571314	-0.616377
0.571316	-0.616374
0.571316	-0.616376
0.57132	-0.61637
0.571321	-0.61637
0.571321	-0.61637
0.571324	-0.616367
0.571327	-0.616363
0.57133	-0.616361
0.57133	-0.616361
0.571331	-0.61636
0.571331	-0.616361
0.571334	-0.616359
0.571334	-0.616366
0.571337	-0.616364
0.571341	-0.61636
0.571343	-0.616359
0.571346	-0.616355
0.571347	-0.616356
0.571353	-0.616349
0.571354	-0.61635
0.571357	-0.616346
0.571359	-0.616343
0.571361	-0.616342
0.571364	-0.616338
0.571363	-0.616341
0.571367	-0.616338
0.571368	-0.616338
0.571371	-0.616335
0.571377	-0.616326
0.571374	-0.616333
0.571377	-0.616329
0.571381	-0.616325
0.571385	-0.61632
0.571387	-0.616319
0.57139	-0.616317
0.571392	-0.616315
0.571394	-0.616312
0.571397	-0.616309
0.5714	-0.616308
0.571405	-0.616304
0.571407	-0.616304
0.571408	-0.616303
0.57141	-0.6163
0.571413	-0.616296
0.571416	-0.616294
0.571417	-0.616295
0.57142	-0.616291
0.571426	-0.616284
0.571424	-0.61629
0.571427	-0.616286
0.571428	-0.616284
0.571428	-0.616286
0.571429	-0.616286
0.57143	-0.616286
0.571432	-0.616283
0.571436	-0.616278
0.571439	-0.616278
0.571443	-0.616274
0.571444	-0.616273
0.571449	-0.616269
0.571449	-0.616272
0.571452	-0.616266
0.571455	-0.616265
0.571458	-0.61626
0.57146	-0.616258
0.571463	-0.616256
0.571464	-0.616256
0.571471	-0.616247
0.571475	-0.616244
0.571476	-0.616245
0.571478	-0.616242
0.57148	-0.616239
0.571483	-0.616236
0.571484	-0.616236
0.571486	-0.616233
0.571486	-0.616235
